date,Qw,Qs
1,322.6253521127,0.2287810258
2,323.7098591549,0.2275107627
3,325.3436619718,0.2264105767
4,327.2169014085,0.2261395163
5,329.2028169014,0.2261660909
6,331.076056338,0.2260066436
7,332.6816901408,0.2257090088
8,334.1605633803,0.2259162902
9,335.6816901408,0.2263999469
10,337.076056338,0.2269739569
11,338.2450704225,0.2273034813
12,339.7521126761,0.227664895
13,341.3718309859,0.228132607
14,342.9070422535,0.2283717778
15,344.414084507,0.2287757109
16,345.6112676056,0.2288394898
17,346.0056338028,0.2280688281
18,345.738028169,0.2267241563
19,345.8507042254,0.225751528
20,345.6112676056,0.2247416955
21,344.738028169,0.2239231996
22,343.385915493,0.223205687
23,341.3690140845,0.2220895562
24,339.1661971831,0.2207342546
25,336.6549295775,0.2193151741
26,334.3408450704,0.2179758172
27,332.8676056338,0.2174177518
28,331.1845070423,0.2162006378
29,328.9394366197,0.214855966
30,327.2774647887,0.2137982992
31,326.0535211268,0.212942599
32,325.361971831,0.2124536274
33,325.023943662,0.2121666224
34,324.9211267606,0.2120815838
35,324.5197183099,0.2118530428
36,323.1394366197,0.2104711666
37,320.5774647887,0.2054265214
38,317.5929577465,0.2032739835
39,313.9704225352,0.2002072814
40,309.7323943662,0.1958331119
41,304.6549295775,0.1896943928
42,299.1366197183,0.1846611746
43,292.0070422535,0.176869519
44,283.3802816901,0.1700132873
45,273.8169014085,0.1593941005
46,265.6873239437,0.1502099389
47,257.1098591549,0.1427424927
48,249.4253521127,0.1355142174
49,241.414084507,0.1268349721
50,234.161971831,0.1212436885
51,225.1985915493,0.1150677651
52,217.1676056338,0.1106563912
53,209.5352112676,0.1055859686
54,201.8746478873,0.0987031624
55,194.2098591549,0.0902684029
56,186.6521126761,0.0804783417
57,179.6746478873,0.0733085304
58,172.8943661972,0.0676694127
59,167.523943662,0.0616848259
60,162.4535211268,0.0578474621
61,157.4323943662,0.05507308
62,152.6267605634,0.0514695721
63,147.9014084507,0.0493382939
64,143.2014084507,0.0472867393
65,138.7056338028,0.0455009301
66,134.5549295775,0.0436885464
67,130.6774647887,0.0425936753
68,127.1704225352,0.042088759
69,123.8183098592,0.0425724156
70,120.4661971831,0.0427478076
71,116.9732394366,0.0426149349
72,113.4661971831,0.0425564709
73,110.114084507,0.0419346266
74,106.4464788732,0.0409407388
75,102.6802816901,0.0400372044
76,99.0084507042,0.0390539463
77,95.3042253521,0.0377092745
78,91.5802816901,0.036114802
79,87.9901408451,0.0343608823
80,84.6929577465,0.0328833378
81,81.714084507,0.0316396492
82,78.738028169,0.0304650545
83,75.8154929577,0.0295402604
84,72.9281690141,0.028519798
85,70.161971831,0.0274833909
86,67.4154929577,0.0264416689
87,64.6,0.0253255381
88,61.7521126761,0.0239968111
89,59.5507042254,0.0231517406
